k_s,sensitivity,cantera equation,cantera products,cantera reactants
225,-3.570946276128361e-08,CFO(50) + CHO2(157) <=> CFOOH(127) + CO(12),"{'CFOOH(127)': 1.0, 'CO(12)': 1.0}","{'CFO(50)': 1.0, 'CHO2(157)': 1.0}"
413,3.4533191228164306e-08,CH2O3(316) + OH(5) <=> CHO3(238) + H2O(7),"{'CHO3(238)': 1.0, 'H2O(7)': 1.0}","{'CH2O3(316)': 1.0, 'OH(5)': 1.0}"
1355,3.429358820672326e-08,CH2F(45) + OH(5) <=> H(3) + O[CH]F(224),"{'H(3)': 1.0, 'O[CH]F(224)': 1.0}","{'CH2F(45)': 1.0, 'OH(5)': 1.0}"
531,-3.425294373380349e-08,C2H2O4(1836) + CHO2(154) <=> C2HO4(1601) + CH2O2(153),"{'C2HO4(1601)': 1.0, 'CH2O2(153)': 1.0}","{'C2H2O4(1836)': 1.0, 'CHO2(154)': 1.0}"
932,3.337417150582446e-08,O(4) + OF(231) <=> OH(5) + [O]F(257),"{'OH(5)': 1.0, '[O]F(257)': 1.0}","{'O(4)': 1.0, 'OF(231)': 1.0}"
942,3.337417057353526e-08,O(4) + OF(231) <=> OH(5) + [O]F(257),"{'OH(5)': 1.0, '[O]F(257)': 1.0}","{'O(4)': 1.0, 'OF(231)': 1.0}"
82,-3.14047115479394e-08,CH2(T)(17) + CHFO(46) <=> CH2F(45) + HCO(14),"{'CH2F(45)': 1.0, 'HCO(14)': 1.0}","{'CH2(T)(17)': 1.0, 'CHFO(46)': 1.0}"
340,-3.043580026949658e-08,CFO(50) + O[C]1OO1(661) <=> CHFO(46) + CO3(658),"{'CHFO(46)': 1.0, 'CO3(658)': 1.0}","{'CFO(50)': 1.0, 'O[C]1OO1(661)': 1.0}"
810,3.033733553824019e-08,CHO3(238) + O(4) <=> CHO2(157) + O2(2),"{'CHO2(157)': 1.0, 'O2(2)': 1.0}","{'CHO3(238)': 1.0, 'O(4)': 1.0}"
131,-2.919953453698921e-08,F(37) + HCO(14) <=> CFO(50) + H(3),"{'CFO(50)': 1.0, 'H(3)': 1.0}","{'F(37)': 1.0, 'HCO(14)': 1.0}"
1149,-2.681672625114738e-08,CO2(13) + O[C]1OO1(661) <=> C2HO5(670),{'C2HO5(670)': 1.0},"{'CO2(13)': 1.0, 'O[C]1OO1(661)': 1.0}"
3,-2.634014286122438e-08,[O]C[O](151) <=> C1OO1(148),{'C1OO1(148)': 1.0},{'[O]C[O](151)': 1.0}
1049,-2.5806110578778296e-08,CO2(156) + O2(2) <=> [O]O[C]1OO1(684),{'[O]O[C]1OO1(684)': 1.0},"{'CO2(156)': 1.0, 'O2(2)': 1.0}"
1159,-2.534636776227336e-08,C2HO5(670) + H(3) <=> C2H2O5(1555),{'C2H2O5(1555)': 1.0},"{'C2HO5(670)': 1.0, 'H(3)': 1.0}"
1218,2.508654200016039e-08,CHO2(157) + O[C]1OO1(661) <=> CH2O2(153) + CO3(658),"{'CH2O2(153)': 1.0, 'CO3(658)': 1.0}","{'CHO2(157)': 1.0, 'O[C]1OO1(661)': 1.0}"
331,-2.3626563535402922e-08,CH2O2(153) + CO2(13) <=> 2 CHO2(154),{'CHO2(154)': 2.0},"{'CH2O2(153)': 1.0, 'CO2(13)': 1.0}"
803,2.27948385806995e-08,CHO2(154) + OH(5) <=> CH2O2(153) + O(4),"{'CH2O2(153)': 1.0, 'O(4)': 1.0}","{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
1551,2.2229163481664543e-08,HCO(14) + [O]O[C]1OO1(684) <=> CO(12) + OO[C]1OO1(2198),"{'CO(12)': 1.0, 'OO[C]1OO1(2198)': 1.0}","{'HCO(14)': 1.0, '[O]O[C]1OO1(684)': 1.0}"
369,-2.209971606397765e-08,CFO2(178) + HCO(14) <=> CFOOH(127) + CO(12),"{'CFOOH(127)': 1.0, 'CO(12)': 1.0}","{'CFO2(178)': 1.0, 'HCO(14)': 1.0}"
1382,-2.199553303814678e-08,CHFO(46) + OH(5) <=> O(4) + O[CH]F(224),"{'O(4)': 1.0, 'O[CH]F(224)': 1.0}","{'CHFO(46)': 1.0, 'OH(5)': 1.0}"
877,-2.1690279021513297e-08,[O]O[C]1OO1(684) <=> CO2(13) + O2(149),"{'CO2(13)': 1.0, 'O2(149)': 1.0}",{'[O]O[C]1OO1(684)': 1.0}
1385,-2.071366340067818e-08,CFOOH(127) + H(3) <=> O(4) + O[CH]F(224),"{'O(4)': 1.0, 'O[CH]F(224)': 1.0}","{'CFOOH(127)': 1.0, 'H(3)': 1.0}"
1540,-1.907618927418008e-08,H2O2(11) + [O]O[C]1OO1(684) <=> HO2(10) + OO[C]1OO1(2198),"{'HO2(10)': 1.0, 'OO[C]1OO1(2198)': 1.0}","{'H2O2(11)': 1.0, '[O]O[C]1OO1(684)': 1.0}"
305,-1.8644619828228118e-08,[O]C[O](151) <=> HCO(14) + OH(5),"{'HCO(14)': 1.0, 'OH(5)': 1.0}",{'[O]C[O](151)': 1.0}
1771,1.779411588509934e-08,C2HO4(676) <=> CO(12) + O[C]1OO1(661),"{'CO(12)': 1.0, 'O[C]1OO1(661)': 1.0}",{'C2HO4(676)': 1.0}
1788,-1.702740380316977e-08,CHFO(46) + CO2(13) <=> CFO2(178) + HCO(14),"{'CFO2(178)': 1.0, 'HCO(14)': 1.0}","{'CHFO(46)': 1.0, 'CO2(13)': 1.0}"
1095,-1.6967589740673288e-08,OH(5) + [O]F(257) <=> OOF(259),{'OOF(259)': 1.0},"{'OH(5)': 1.0, '[O]F(257)': 1.0}"
1180,-1.6942252168231505e-08,CH2O2(153) + HO2(10) <=> O2(2) + O[CH]O(970),"{'O2(2)': 1.0, 'O[CH]O(970)': 1.0}","{'CH2O2(153)': 1.0, 'HO2(10)': 1.0}"
941,-1.6681433705721006e-08,O(4) + OF(231) <=> OH(5) + [O]F(257),"{'OH(5)': 1.0, '[O]F(257)': 1.0}","{'O(4)': 1.0, 'OF(231)': 1.0}"
931,-1.6681432902312472e-08,O(4) + OF(231) <=> OH(5) + [O]F(257),"{'OH(5)': 1.0, '[O]F(257)': 1.0}","{'O(4)': 1.0, 'OF(231)': 1.0}"
1137,-1.61321155219869e-08,CFO2(178) + HO2(10) <=> CO2(13) + OOF(259),"{'CO2(13)': 1.0, 'OOF(259)': 1.0}","{'CFO2(178)': 1.0, 'HO2(10)': 1.0}"
934,1.5705107904673548e-08,H(3) + OF(231) <=> H2(6) + [O]F(257),"{'H2(6)': 1.0, '[O]F(257)': 1.0}","{'H(3)': 1.0, 'OF(231)': 1.0}"
1460,1.517498786858085e-08,CHO3(238) + OH(5) <=> CHO4(412) + H(3),"{'CHO4(412)': 1.0, 'H(3)': 1.0}","{'CHO3(238)': 1.0, 'OH(5)': 1.0}"
157,-1.3545312314777094e-08,CHO2(157) + O(4) <=> O[C]1OO1(661),{'O[C]1OO1(661)': 1.0},"{'CHO2(157)': 1.0, 'O(4)': 1.0}"
568,-1.3023923602767121e-08,CHO3(238) + OH(5) <=> CH2O3(316) + O(4),"{'CH2O3(316)': 1.0, 'O(4)': 1.0}","{'CHO3(238)': 1.0, 'OH(5)': 1.0}"
1635,1.2786761732810927e-08,C2O3(3471) + OH(5) <=> C2HO4(1601),{'C2HO4(1601)': 1.0},"{'C2O3(3471)': 1.0, 'OH(5)': 1.0}"
747,-1.219871359990895e-08,CHFO3(641) + F(37) <=> CFO3(398) + HF(38),"{'CFO3(398)': 1.0, 'HF(38)': 1.0}","{'CHFO3(641)': 1.0, 'F(37)': 1.0}"
272,-1.2165702304152909e-08,CO3(202) <=> [O][C]1OO1(659),{'[O][C]1OO1(659)': 1.0},{'CO3(202)': 1.0}
1555,-1.2115913473147292e-08,CHO4(413) <=> CO2(13) + HO2(10),"{'CO2(13)': 1.0, 'HO2(10)': 1.0}",{'CHO4(413)': 1.0}
286,-1.2094482844077191e-08,2 CHO2(154) <=> CH2O2(153) + CO2(13),"{'CH2O2(153)': 1.0, 'CO2(13)': 1.0}",{'CHO2(154)': 2.0}
425,-1.091259002172124e-08,CHO2(157) + OH(5) <=> CH2O3(316),{'CH2O3(316)': 1.0},"{'CHO2(157)': 1.0, 'OH(5)': 1.0}"
1167,-1.058077395353956e-08,H(3) + O[CH]O(970) <=> CH2O2(153) + H2(6),"{'CH2O2(153)': 1.0, 'H2(6)': 1.0}","{'H(3)': 1.0, 'O[CH]O(970)': 1.0}"
1172,-1.032011207991712e-08,O(4) + O[CH]O(970) <=> CH2O2(153) + OH(5),"{'CH2O2(153)': 1.0, 'OH(5)': 1.0}","{'O(4)': 1.0, 'O[CH]O(970)': 1.0}"
926,-1.0179010489205981e-08,H(3) + [O]F(257) <=> OF(231),{'OF(231)': 1.0},"{'H(3)': 1.0, '[O]F(257)': 1.0}"
379,-1.0106210074656588e-08,CFOOH(127) + F(37) <=> CFO2(178) + HF(38),"{'CFO2(178)': 1.0, 'HF(38)': 1.0}","{'CFOOH(127)': 1.0, 'F(37)': 1.0}"
1155,-9.754493263306939e-09,C2H2O5(1555) + OH(5) <=> C2HO5(670) + H2O(7),"{'C2HO5(670)': 1.0, 'H2O(7)': 1.0}","{'C2H2O5(1555)': 1.0, 'OH(5)': 1.0}"
1732,-9.711643756122782e-09,CH2OH(33) + F(37) <=> CH2O(19) + HF(38),"{'CH2O(19)': 1.0, 'HF(38)': 1.0}","{'CH2OH(33)': 1.0, 'F(37)': 1.0}"
476,-9.64003652452803e-09,C2H2O4(1836) + F(37) <=> C2HO4(1601) + HF(38),"{'C2HO4(1601)': 1.0, 'HF(38)': 1.0}","{'C2H2O4(1836)': 1.0, 'F(37)': 1.0}"
1904,-9.086915165662641e-09,H(3) + O[C](O)F(765) <=> CFOOH(127) + H2(6),"{'CFOOH(127)': 1.0, 'H2(6)': 1.0}","{'H(3)': 1.0, 'O[C](O)F(765)': 1.0}"
1386,8.957652039262081e-09,CFOOH(127) + H(3) <=> CH2O2(153) + F(37),"{'CH2O2(153)': 1.0, 'F(37)': 1.0}","{'CFOOH(127)': 1.0, 'H(3)': 1.0}"
609,-8.931982678527886e-09,CF2O(48) + OH(5) <=> CFO2(178) + HF(38),"{'CFO2(178)': 1.0, 'HF(38)': 1.0}","{'CF2O(48)': 1.0, 'OH(5)': 1.0}"
786,-8.382803245152714e-09,CHO2(154) + OH(5) <=> CO2(13) + H2O(7),"{'CO2(13)': 1.0, 'H2O(7)': 1.0}","{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
570,8.041318809125585e-09,O2(149) + [O][C]1OO1(659) <=> CO3(658) + O2(2),"{'CO3(658)': 1.0, 'O2(2)': 1.0}","{'O2(149)': 1.0, '[O][C]1OO1(659)': 1.0}"
311,8.01399458062658e-09,CHO2(157) + HO2(10) <=> CH2O2(153) + O2(2),"{'CH2O2(153)': 1.0, 'O2(2)': 1.0}","{'CHO2(157)': 1.0, 'HO2(10)': 1.0}"
2060,7.731100734080517e-09,CFO2(178) + [O][C]1OO1(659) <=> CO2(13) + [O]C1(F)OO1(655),"{'CO2(13)': 1.0, '[O]C1(F)OO1(655)': 1.0}","{'CFO2(178)': 1.0, '[O][C]1OO1(659)': 1.0}"
924,-7.72503082297051e-09,CHO2(154) + [O]F(257) <=> CO2(13) + OF(231),"{'CO2(13)': 1.0, 'OF(231)': 1.0}","{'CHO2(154)': 1.0, '[O]F(257)': 1.0}"
87,-7.489685403981763e-09,C1OO1(148) <=> CO2(13) + H2(6),"{'CO2(13)': 1.0, 'H2(6)': 1.0}",{'C1OO1(148)': 1.0}
1451,-6.991718573966357e-09,CHO3(238) + O2(2) <=> CHO4(412) + O(4),"{'CHO4(412)': 1.0, 'O(4)': 1.0}","{'CHO3(238)': 1.0, 'O2(2)': 1.0}"
1154,-6.812955028815128e-09,C2H2O5(1555) + O(4) <=> C2HO5(670) + OH(5),"{'C2HO5(670)': 1.0, 'OH(5)': 1.0}","{'C2H2O5(1555)': 1.0, 'O(4)': 1.0}"
1911,-6.631700896409727e-09,O(4) + O[C](O)F(765) <=> CFOOH(127) + OH(5),"{'CFOOH(127)': 1.0, 'OH(5)': 1.0}","{'O(4)': 1.0, 'O[C](O)F(765)': 1.0}"
511,6.587851551743325e-09,CHO2(157) + H2O2(11) <=> CH2O2(153) + HO2(10),"{'CH2O2(153)': 1.0, 'HO2(10)': 1.0}","{'CHO2(157)': 1.0, 'H2O2(11)': 1.0}"
146,-6.427730803075161e-09,CHO2(157) + O2(2) <=> CO2(13) + HO2(10),"{'CO2(13)': 1.0, 'HO2(10)': 1.0}","{'CHO2(157)': 1.0, 'O2(2)': 1.0}"
672,-6.308937498320229e-09,CFO2(178) + HF(38) <=> O(4) + O[C](F)F(869),"{'O(4)': 1.0, 'O[C](F)F(869)': 1.0}","{'CFO2(178)': 1.0, 'HF(38)': 1.0}"
1289,6.151021209894271e-09,C2H2O4(1836) + CFO(50) <=> C2H2FO4(1840) + CO(12),"{'C2H2FO4(1840)': 1.0, 'CO(12)': 1.0}","{'C2H2O4(1836)': 1.0, 'CFO(50)': 1.0}"
1955,-6.083463542628586e-09,CH3O(26) + [O]F(257) <=> CH2O(19) + OF(231),"{'CH2O(19)': 1.0, 'OF(231)': 1.0}","{'CH3O(26)': 1.0, '[O]F(257)': 1.0}"
613,-6.079991443860167e-09,CH2F(45) + O[C](F)F(869) <=> CF2O(48) + CH3F(1),"{'CF2O(48)': 1.0, 'CH3F(1)': 1.0}","{'CH2F(45)': 1.0, 'O[C](F)F(869)': 1.0}"
1148,-5.906045848799818e-09,CHO3(238) + CO2(13) <=> C2HO5(670),{'C2HO5(670)': 1.0},"{'CHO3(238)': 1.0, 'CO2(13)': 1.0}"
1153,-5.652656492459715e-09,C2H2O5(1555) + H(3) <=> C2HO5(670) + H2(6),"{'C2HO5(670)': 1.0, 'H2(6)': 1.0}","{'C2H2O5(1555)': 1.0, 'H(3)': 1.0}"
229,5.6308282088620275e-09,CFOOH(127) + CO2(13) <=> CFO3(398) + HCO(14),"{'CFO3(398)': 1.0, 'HCO(14)': 1.0}","{'CFOOH(127)': 1.0, 'CO2(13)': 1.0}"
1735,-4.955492255238289e-09,CH2O(19) + HF(38) <=> CH2OH(33) + F(37),"{'CH2OH(33)': 1.0, 'F(37)': 1.0}","{'CH2O(19)': 1.0, 'HF(38)': 1.0}"
1951,-4.939172716367974e-09,CH3O(26) + CHO2(154) <=> CH2O(19) + CH2O2(153),"{'CH2O(19)': 1.0, 'CH2O2(153)': 1.0}","{'CH3O(26)': 1.0, 'CHO2(154)': 1.0}"
350,4.896623057675537e-09,CO2(13) + CO3(658) <=> CO2(13) + [O][C]1OO1(659),"{'CO2(13)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0}"
58,4.667098128742314e-09,CH2O(19) + O(4) <=> [O]C[O](151),{'[O]C[O](151)': 1.0},"{'CH2O(19)': 1.0, 'O(4)': 1.0}"
758,4.572247016535942e-09,CFO(50) + HO2(10) <=> CHFO3(641),{'CHFO3(641)': 1.0},"{'CFO(50)': 1.0, 'HO2(10)': 1.0}"
152,-4.5321660365851575e-09,CHO3(238) + O(4) <=> CO2(13) + HO2(10),"{'CO2(13)': 1.0, 'HO2(10)': 1.0}","{'CHO3(238)': 1.0, 'O(4)': 1.0}"
309,4.52117111092506e-09,CH2O(19) + O(4) <=> CHO2(157) + H(3),"{'CHO2(157)': 1.0, 'H(3)': 1.0}","{'CH2O(19)': 1.0, 'O(4)': 1.0}"
595,-4.472418071791145e-09,2 CFO(50) <=> CF2O(48) + CO(12),"{'CF2O(48)': 1.0, 'CO(12)': 1.0}",{'CFO(50)': 2.0}
769,4.471193432960231e-09,CHFO3(641) <=> CFO3(398) + H(3),"{'CFO3(398)': 1.0, 'H(3)': 1.0}",{'CHFO3(641)': 1.0}
502,4.428550260272535e-09,C2H2O4(1836) + C2O4(206) <=> 2 C2HO4(1601),{'C2HO4(1601)': 2.0},"{'C2H2O4(1836)': 1.0, 'C2O4(206)': 1.0}"
1761,-4.420285088519355e-09,CHO3(238) + HO2(10) <=> CH2O3(316) + O2(149),"{'CH2O3(316)': 1.0, 'O2(149)': 1.0}","{'CHO3(238)': 1.0, 'HO2(10)': 1.0}"
650,4.353445842515839e-09,OH(5) + [O]OF(145) <=> O2(2) + OF(231),"{'O2(2)': 1.0, 'OF(231)': 1.0}","{'OH(5)': 1.0, '[O]OF(145)': 1.0}"
1742,-4.35069345987223e-09,CH2OH(33) + CHO2(154) <=> CH2O(19) + CH2O2(153),"{'CH2O(19)': 1.0, 'CH2O2(153)': 1.0}","{'CH2OH(33)': 1.0, 'CHO2(154)': 1.0}"
617,-4.167767461120196e-09,CFO(50) + O[C](F)F(869) <=> CF2O(48) + CHFO(46),"{'CF2O(48)': 1.0, 'CHFO(46)': 1.0}","{'CFO(50)': 1.0, 'O[C](F)F(869)': 1.0}"
467,4.118305563921456e-09,C2HO4(1601) + H(3) <=> C2O4(204) + H2(6),"{'C2O4(204)': 1.0, 'H2(6)': 1.0}","{'C2HO4(1601)': 1.0, 'H(3)': 1.0}"
804,4.100382123155325e-09,CH2O2(153) + O(4) <=> CHO3(238) + H(3),"{'CHO3(238)': 1.0, 'H(3)': 1.0}","{'CH2O2(153)': 1.0, 'O(4)': 1.0}"
31,-4.003467423028102e-09,CHO2(154) + O2(2) <=> CO2(13) + HO2(10),"{'CO2(13)': 1.0, 'HO2(10)': 1.0}","{'CHO2(154)': 1.0, 'O2(2)': 1.0}"
638,-3.999882693490972e-09,CF2O(48) + OH(5) <=> O(4) + O[C](F)F(869),"{'O(4)': 1.0, 'O[C](F)F(869)': 1.0}","{'CF2O(48)': 1.0, 'OH(5)': 1.0}"
412,-3.971740628716738e-09,CH2O3(316) + F(37) <=> CHO3(238) + HF(38),"{'CHO3(238)': 1.0, 'HF(38)': 1.0}","{'CH2O3(316)': 1.0, 'F(37)': 1.0}"
466,3.877977692381731e-09,C2HO4(1601) + OH(5) <=> C2O4(204) + H2O(7),"{'C2O4(204)': 1.0, 'H2O(7)': 1.0}","{'C2HO4(1601)': 1.0, 'OH(5)': 1.0}"
314,-3.862853617418279e-09,CHO2(154) + CHO2(157) <=> CH2O2(153) + CO2(13),"{'CH2O2(153)': 1.0, 'CO2(13)': 1.0}","{'CHO2(154)': 1.0, 'CHO2(157)': 1.0}"
1530,3.802587945620158e-09,CO3(658) + OH(5) <=> OO[C]1OO1(2198),{'OO[C]1OO1(2198)': 1.0},"{'CO3(658)': 1.0, 'OH(5)': 1.0}"
323,3.798857991676848e-09,CO3(658) + H(3) <=> H(3) + [O][C]1OO1(659),"{'H(3)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CO3(658)': 1.0, 'H(3)': 1.0}"
1093,3.62583721108916e-09,F(37) + HO2(10) <=> OOF(259),{'OOF(259)': 1.0},"{'F(37)': 1.0, 'HO2(10)': 1.0}"
235,-3.59165704626298e-09,CHO2(157) + [O][C]1OO1(659) <=> CO2(13) + O[C]1OO1(661),"{'CO2(13)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CHO2(157)': 1.0, '[O][C]1OO1(659)': 1.0}"
153,-3.5298351169378353e-09,CH2O(19) + CO2(13) + HF(38) <=> CH2F(45) + CHO3(238),"{'CH2F(45)': 1.0, 'CHO3(238)': 1.0}","{'CH2O(19)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
249,-3.5025205278576912e-09,CO3(658) + H(3) <=> O[C]1OO1(661),{'O[C]1OO1(661)': 1.0},"{'CO3(658)': 1.0, 'H(3)': 1.0}"
508,3.4192360979771963e-09,C2H2O4(1836) + CHO2(157) <=> C2HO4(1601) + CH2O2(153),"{'C2HO4(1601)': 1.0, 'CH2O2(153)': 1.0}","{'C2H2O4(1836)': 1.0, 'CHO2(157)': 1.0}"
487,-3.3040555314177115e-09,CH2(T)(17) + [O]OF(145) <=> CH2F(45) + O2(2),"{'CH2F(45)': 1.0, 'O2(2)': 1.0}","{'CH2(T)(17)': 1.0, '[O]OF(145)': 1.0}"
574,3.296161446112345e-09,CFO(50) + O2(149) <=> F(37) + [O][C]1OO1(659),"{'F(37)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CFO(50)': 1.0, 'O2(149)': 1.0}"
1169,-3.2089314007345517e-09,OH(5) + O[CH]O(970) <=> CH2O2(153) + H2O(7),"{'CH2O2(153)': 1.0, 'H2O(7)': 1.0}","{'OH(5)': 1.0, 'O[CH]O(970)': 1.0}"
313,-3.205751945071425e-09,H(3) + [O]C1(F)OO1(655) <=> CO3(658) + HF(38),"{'CO3(658)': 1.0, 'HF(38)': 1.0}","{'H(3)': 1.0, '[O]C1(F)OO1(655)': 1.0}"
2035,3.1173125688853323e-09,C2HO4(350) <=> HCO(14) + [O][C]1OO1(659),"{'HCO(14)': 1.0, '[O][C]1OO1(659)': 1.0}",{'C2HO4(350)': 1.0}
1661,3.113023166586879e-09,CFO2(178) + O[C]1OO1(661) <=> CFOOH(127) + CO3(658),"{'CFOOH(127)': 1.0, 'CO3(658)': 1.0}","{'CFO2(178)': 1.0, 'O[C]1OO1(661)': 1.0}"
1314,-3.08362018740071e-09,CO2(13) + O-2(150) <=> [O][C]1OO1(659),{'[O][C]1OO1(659)': 1.0},"{'CO2(13)': 1.0, 'O-2(150)': 1.0}"
861,-3.055992318561918e-09,O(4) + [O][C]1OO1(659) <=> CO4(180),{'CO4(180)': 1.0},"{'O(4)': 1.0, '[O][C]1OO1(659)': 1.0}"
854,-3.0439447912172126e-09,CO3(658) + OH(5) <=> CO2(13) + HO2(10),"{'CO2(13)': 1.0, 'HO2(10)': 1.0}","{'CO3(658)': 1.0, 'OH(5)': 1.0}"
655,-2.998610819241133e-09,H(3) + [O]C(O)(F)F(767) <=> CFOOH(127) + HF(38),"{'CFOOH(127)': 1.0, 'HF(38)': 1.0}","{'H(3)': 1.0, '[O]C(O)(F)F(767)': 1.0}"
1589,2.9884189682670327e-09,CHO4(412) + HO2(10) <=> CH2O4(735) + O2(2),"{'CH2O4(735)': 1.0, 'O2(2)': 1.0}","{'CHO4(412)': 1.0, 'HO2(10)': 1.0}"
1399,-2.9514776254636268e-09,CHO2(157) + [O][C]1OO1(659) <=> CO2(13) + O[C]1OO1(661),"{'CO2(13)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CHO2(157)': 1.0, '[O][C]1OO1(659)': 1.0}"
676,2.930363151204565e-09,CF2O(48) + O(4) <=> CFO2(178) + F(37),"{'CFO2(178)': 1.0, 'F(37)': 1.0}","{'CF2O(48)': 1.0, 'O(4)': 1.0}"
2055,-2.849837341826586e-09,HO2(10) + [O]OF(145) <=> O2(2) + OOF(259),"{'O2(2)': 1.0, 'OOF(259)': 1.0}","{'HO2(10)': 1.0, '[O]OF(145)': 1.0}"
1214,-2.84983734140821e-09,HO2(10) + [O]OF(145) <=> O2(2) + OOF(259),"{'O2(2)': 1.0, 'OOF(259)': 1.0}","{'HO2(10)': 1.0, '[O]OF(145)': 1.0}"
579,2.8417285919110713e-09,CO3(658) + O(4) <=> O(4) + [O][C]1OO1(659),"{'O(4)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CO3(658)': 1.0, 'O(4)': 1.0}"
898,-2.8367522236829494e-09,CFOOH(127) + F(37) <=> O(4) + O[C](F)F(869),"{'O(4)': 1.0, 'O[C](F)F(869)': 1.0}","{'CFOOH(127)': 1.0, 'F(37)': 1.0}"
620,-2.8224829542512378e-09,HCO(14) + O[C](F)F(869) <=> CF2O(48) + CH2O(19),"{'CF2O(48)': 1.0, 'CH2O(19)': 1.0}","{'HCO(14)': 1.0, 'O[C](F)F(869)': 1.0}"
772,2.668363033045941e-09,CHO2(157) + HO2(10) <=> CHO3(238) + OH(5),"{'CHO3(238)': 1.0, 'OH(5)': 1.0}","{'CHO2(157)': 1.0, 'HO2(10)': 1.0}"
587,-2.6448314453709702e-09,CF2O(48) + CH2(T)(17) <=> CFO(50) + CH2F(45),"{'CFO(50)': 1.0, 'CH2F(45)': 1.0}","{'CF2O(48)': 1.0, 'CH2(T)(17)': 1.0}"
136,-2.5744121066438624e-09,CHO2(154) <=> CHO2(157),{'CHO2(157)': 1.0},{'CHO2(154)': 1.0}
262,-2.571896895991743e-09,CO2(13) + OH(5) <=> CO3(202) + H(3),"{'CO3(202)': 1.0, 'H(3)': 1.0}","{'CO2(13)': 1.0, 'OH(5)': 1.0}"
1950,2.506760567639135e-09,CH3O(26) + [O][C]1OO1(659) <=> CH2O(19) + O[C]1OO1(661),"{'CH2O(19)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CH3O(26)': 1.0, '[O][C]1OO1(659)': 1.0}"
1199,2.4951723136678093e-09,C2FO4(323) + CH3F(1) <=> C2HFO4(219) + CH2F(45),"{'C2HFO4(219)': 1.0, 'CH2F(45)': 1.0}","{'C2FO4(323)': 1.0, 'CH3F(1)': 1.0}"
1074,-2.4508027045089635e-09,H(3) + OOF(259) <=> HF(38) + HO2(10),"{'HF(38)': 1.0, 'HO2(10)': 1.0}","{'H(3)': 1.0, 'OOF(259)': 1.0}"
1245,-2.4350298435954912e-09,CHO2(154) + OH(5) <=> CO(12) + H2O2(11),"{'CO(12)': 1.0, 'H2O2(11)': 1.0}","{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
1432,-2.4297328570824434e-09,C2HO5(672) <=> C2HO5(670),{'C2HO5(670)': 1.0},{'C2HO5(672)': 1.0}
1084,2.377189334008232e-09,OOF(259) <=> HF(38) + O2(149),"{'HF(38)': 1.0, 'O2(149)': 1.0}",{'OOF(259)': 1.0}
1165,-2.3018613456185626e-09,CH2F(45) + O[CH]O(970) <=> CH2O2(153) + CH3F(1),"{'CH2O2(153)': 1.0, 'CH3F(1)': 1.0}","{'CH2F(45)': 1.0, 'O[CH]O(970)': 1.0}"
1905,-2.238614689707933e-09,OH(5) + O[C](O)F(765) <=> CFOOH(127) + H2O(7),"{'CFOOH(127)': 1.0, 'H2O(7)': 1.0}","{'OH(5)': 1.0, 'O[C](O)F(765)': 1.0}"
1741,2.2098189704634894e-09,CH2OH(33) + [O][C]1OO1(659) <=> CH2O(19) + O[C]1OO1(661),"{'CH2O(19)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CH2OH(33)': 1.0, '[O][C]1OO1(659)': 1.0}"
175,-2.172522558442316e-09,H(3) + HO2(10) <=> H2(6) + O2(149),"{'H2(6)': 1.0, 'O2(149)': 1.0}","{'H(3)': 1.0, 'HO2(10)': 1.0}"
253,-2.1208524195104127e-09,HO2(10) + O[C]1OO1(661) <=> CO3(658) + H2O2(11),"{'CO3(658)': 1.0, 'H2O2(11)': 1.0}","{'HO2(10)': 1.0, 'O[C]1OO1(661)': 1.0}"
1760,2.0969153970879876e-09,CHO3(238) + HO2(10) <=> CHO4(412) + OH(5),"{'CHO4(412)': 1.0, 'OH(5)': 1.0}","{'CHO3(238)': 1.0, 'HO2(10)': 1.0}"
923,-2.04625083194197e-09,CHO2(157) + [O]F(257) <=> CO2(13) + OF(231),"{'CO2(13)': 1.0, 'OF(231)': 1.0}","{'CHO2(157)': 1.0, '[O]F(257)': 1.0}"
1168,-2.0385969942824576e-09,CFO(50) + O[CH]O(970) <=> CH2O2(153) + CHFO(46),"{'CH2O2(153)': 1.0, 'CHFO(46)': 1.0}","{'CFO(50)': 1.0, 'O[CH]O(970)': 1.0}"
373,-2.032246044906563e-09,CFO2(178) + CHFO(46) <=> CFO(50) + CFOOH(127),"{'CFO(50)': 1.0, 'CFOOH(127)': 1.0}","{'CFO2(178)': 1.0, 'CHFO(46)': 1.0}"
149,-2.00995528626893e-09,CO(12) + OH(5) <=> CHO2(154),{'CHO2(154)': 1.0},"{'CO(12)': 1.0, 'OH(5)': 1.0}"
